"Num_Acc","date","lat","long","categorie","v_max","plan","largeur_TPC","largeur_chaussée","etat_surface","Aménagement","Situation_accident","dep"
"201900015538","2019-10-09T00:00:00.000000","    46.34322","    -0.37879","Route Départementale","         110","Partie rectiligne","          60","         140","Normale","Bretelle d’échangeur ou de raccordement","Sur chaussée","          79"
"201900016265","2019-05-04T00:00:00.000000","    46.34111","    -0.39086","Route Départementale","         110","Partie rectiligne","         6.5","        13.5","Normale","Aucun","Sur chaussée","          79"
"201900016525","2019-11-20T00:00:00.000000","   46.067803","     0.19992","Route Départementale","          80","Partie rectiligne","         1.5","           6","Normale","Aucun","Sur accotement","          16"
"201900016571","2019-07-25T00:00:00.000000","    46.32583","    -0.41325","Route Départementale","          90","En courbe à droite","          30","         155","Normale","Aucun","Sur chaussée","          79"
"201900016763","2019-12-29T00:00:00.000000","   45.779014","   -0.063134","Route Départementale","          50","En courbe à gauche","           4","           7","Normale","Carrefour aménagé","Sur chaussée","          16"
"201900017495","2019-04-27T00:00:00.000000","   45.771714","    0.201188","Route Départementale","          80","Partie rectiligne","           0","           6","Normale","Aucun","Sur chaussée","          16"
"201900017496","2019-04-22T00:00:00.000000","   45.940751","    0.644805","Route Départementale","          80","Partie rectiligne","           0","         5.4","Normale","Carrefour aménagé","Sur chaussée","          16"
"201900017497","2019-04-18T00:00:00.000000","   45.679426","   -0.119361","Route Départementale","          50","Partie rectiligne","           0","         4.6","Normale","Aucun","Sur chaussée","          16"
"201900017498","2019-04-27T00:00:00.000000","   45.499127","   -0.123575","Route nationale","         110","Partie rectiligne","         2.5","          14","Mouillée","Aucun","Sur chaussée","          16"
"201900018725","2019-12-27T00:00:00.000000","   45.513895","    0.264037","Route Départementale","          80","En courbe à gauche","           0","         5.6","Normale","Aucun","Sur accotement","          16"
"201900019017","2019-09-11T00:00:00.000000","   46.645152","   -0.252021","Route Départementale","          50","Partie rectiligne","          20","          90","Normale","Autres","Sur chaussée","          79"
"201900019657","2019-07-01T00:00:00.000000","   45.709367","    0.078277","Route Départementale","          80","En courbe à droite","2.5999999046","           6","Normale","Aucun","Sur chaussée","          16"
"201900020192","2019-11-16T00:00:00.000000","   45.598948","    0.268697","Route Départementale","          80","Partie rectiligne","           0","        10.5","Mouillée","Carrefour aménagé","Sur chaussée","          16"
"201900020295","2019-03-16T00:00:00.000000","    45.81938","   0.4483784","Route Départementale","          50","En courbe à gauche","           0","         5.1","Normale","Carrefour aménagé","Sur trottoir","          16"
"201900020296","2019-03-14T00:00:00.000000","   45.878675","    0.500748","Route nationale","          70","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"201900020345","2019-03-16T00:00:00.000000","   45.671097","    0.022133","Route nationale","          80","En courbe à droite","           0","        10.5","Mouillée","Carrefour aménagé","Sur chaussée","          16"
"201900020499","2019-12-26T00:00:00.000000","   45.534979","   -0.050281","Route nationale","         110","Partie rectiligne","         2.5","          14","Normale","Aucun","Sur chaussée","          16"
"201900020633","2019-02-01T00:00:00.000000","      45.688","     0.21846","Route nationale","         110","Partie rectiligne","           3","          14","Normale","Aucun","Sur chaussée","          16"
"201900021435","2019-06-28T00:00:00.000000","    46.29985","    -0.36734","Autoroute","         130","Partie rectiligne","          50","         175","Normale","Aucun","Sur chaussée","          79"
